Period,Price (â‚¬ / kg)
P1 (2018-12-31),0.73
P2 (2019-01-28),0.75
P3 (2019-02-25),0.79
P4 (2019-03-25),0.77
P5 (2019-04-22),0.8
P6 (2019-05-20),0.79
P7 (2019-06-17),0.7
P8 (2019-07-15),0.58
P9 (2019-08-12),0.65
P10 (2019-09-09),0.58
P11 (2019-10-07),0.63
P12 (2019-11-04),0.66
P13 (2019-12-02),0.7
P1 (2019-12-30),0.7
P2 (2020-01-27),0.68
P3 (2020-02-24),0.68
P4 (2020-03-23),0.74
P5 (2020-04-20),0.72
P6 (2020-05-18),0.67
P7 (2020-06-15),0.62
P8 (2020-07-13),0.6
P9 (2020-08-10),0.62
P10 (2020-09-07),0.69
P11 (2020-10-05),0.68
P12 (2020-11-02),0.68
P13 (2020-11-30),0.69
P1 (2021-01-04),0.62
P2 (2021-02-01),0.65
P3 (2021-03-01),0.68
P4 (2021-03-29),0.74
P5 (2021-04-26),0.59
P6 (2021-05-24),0.72
P7 (2021-06-21),0.63
P8 (2021-07-19),0.66
P9 (2021-08-16),0.67
P10 (2021-09-13),0.7
P11 (2021-10-11),0.67
P12 (2021-11-08),0.71
P13 (2021-12-06),0.76
P1 (2022-01-03),0.7
P2 (2022-01-31),0.73
P3 (2022-02-28),0.74
P4 (2022-03-28),0.74
P5 (2022-04-25),0.78
P6 (2022-05-23),0.75
P7 (2022-06-20),0.76
P8 (2022-07-18),0.77
P9 (2022-08-15),0.83
P10 (2022-09-12),0.86
P11 (2022-10-10),0.93
P12 (2022-11-07),0.93
P13 (2022-12-05),0.96
P1 (2023-01-02),0.95
P2 (2023-01-30),0.97
P3 (2023-02-27),0.99
P4 (2023-03-27),1.04
P5 (2023-04-24),1.06
P6 (2023-05-22),1.06
P7 (2023-06-19),1.01
P8 (2023-07-17),0.97
P9 (2023-08-14),1.07
P10 (2023-09-11),1.03
P11 (2023-10-09),0.98
P12 (2023-11-06),1.01
P13 (2023-12-04),1.04
P1 (2024-01-01),1.1
P2 (2024-01-29),1.1
P3 (2024-02-26),1.12
P4 (2024-03-25),1.16
P5 (2024-04-22),1.2
P6 (2024-05-20),1.16
P7 (2024-06-17),1.18
P8 (2024-07-15),1.1
P9 (2024-08-12),1.12
P10 (2024-09-09),1.14
P11 (2024-10-07),1.11
P12 (2024-11-04),1.1
P13 (2024-12-02),1.19
P1 (2024-12-30),1.14
P2 (2025-01-27),1.15
P3 (2025-02-24),1.08
P4 (2025-03-24),1.08
